img,title,console,genre,publisher,developer,vg_score,critic_score,user_score,total_shipped,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/1902388ccc.jpg,Mission: Impossible,N64,Action,Ocean,Infogrames,,6.6,,,1.17,0.74,0.02,0.38,0.03,1998-07-18,
/games/boxart/full_7798502AmericaFrontccc.png,Sunset Overdrive,XOne,Action,Microsoft Studios,Insomniac Games,8.8,8.0,,,1.16,0.64,0.0,0.42,0.1,2014-10-28,2018-01-06
/games/boxart/full_244890AmericaFrontccc.jpg,LEGO Star Wars: The Video Game,XB,Action,Eidos Interactive,Traveller's Tales,,8.0,,,1.16,0.83,,0.28,0.05,2005-04-05,
/games/boxart/6651793ccc.jpg,Gauntlet: Dark Legacy,PS2,Action,Midway Games,Midway Games West,,,,,1.15,0.56,,0.44,0.15,2001-05-01,
/games/boxart/51576ccc.jpg,Kaboom!,2600,Action,Activision,Activision,,,,,1.15,1.07,,0.07,0.01,1981-01-01,
/games/boxart/full_1578888JapanFrontccc.jpg,Doraemon,NES,Action,Hudson Soft,Hudson Soft,,,,,1.15,,1.15,,0.0,1986-12-12,
/games/boxart/full_4939346AmericaFrontccc.png,LEGO City Undercover,WiiU,Action,Nintendo,TT Fusion,7.8,7.5,,1.15,,,,,,2013-03-18,2018-03-20
/games/boxart/full_6452233AmericaFrontccc.jpg,Ninja Gaiden II,X360,Action,Microsoft,Team Ninja,,8.2,,1.15,,,,,,2008-06-03,
/games/boxart/full_7329069AmericaFrontccc.png,Middle-Earth: Shadow of War,XOne,Action,Warner Bros. Interactive Entertainment,Monolith Productions,,,,,1.15,0.75,,0.29,0.11,2017-10-10,2018-01-10
/games/boxart/full_767000AmericaFrontccc.jpeg,Lego Marvel Super Heroes,XOne,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,,,,,1.15,0.61,,0.44,0.1,2013-11-22,2018-12-01
/games/boxart/full_lego-star-wars-iii-the-clone-wars_987AmericaFront.jpg,LEGO Star Wars III: The Clone Wars,3DS,Action,LucasArts,Traveller's Tales,,6.7,,,1.14,0.61,,0.44,0.09,2011-03-27,
/games/boxart/858617ccc.jpg,Action Bass,PS,Action,Take-Two Interactive,Unknown,,5.1,,,1.14,0.64,,0.43,0.07,2000-07-14,
/games/boxart/full_2543321AmericaFrontccc.jpg,Tenchu: Wrath of Heaven,PS2,Action,Activision,K2 LLC,,,,,1.14,0.44,0.25,0.34,0.11,2003-03-03,
/games/boxart/full_1579426AmericaFrontccc.jpg,Commando,NES,Action,Capcom,Capcom,,,,1.14,,,,,,1986-11-01,
/games/boxart/6432563ccc.jpg,Resident Evil - Code: Veronica,DC,Action,Capcom,Capcom,,9.2,,1.14,,,,,,2000-02-29,
/games/boxart/8334980ccc.jpg,The Lord of the Rings: The Return of the King,XB,Action,Electronic Arts,"Hypnos Entertainment, Inc.",,8.8,,,1.14,0.71,,0.38,0.05,2003-11-05,
/games/boxart/full_8705226AmericaFrontccc.jpg,LEGO Star Wars: The Video Game,GBA,Action,Eidos Interactive,Amaze Entertainment,,7.4,,,1.14,0.82,,0.3,0.02,2005-03-29,
/games/boxart/5908966ccc.jpg,Resident Evil Director's Cut,PS,Action,Capcom,Capcom,,8.3,,1.13,,,,,,1997-01-01,
/games/boxart/full_5168012AmericaFrontccc.jpg,Spider-Man 2,XB,Action,Activision,Treyarch,,7.7,,,1.12,0.82,,0.26,0.04,2004-06-28,
/games/boxart/full_2206174AmericaFrontccc.jpg,Transformers: The Game,PS2,Action,Activision,Traveller's Tales,,,,,1.11,0.63,0.0,0.37,0.11,2007-06-26,
/games/boxart/full_8692814AmericaFrontccc.jpg,LEGO Marvel Super Heroes 2,PS4,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,,,,,1.11,0.33,0.0,0.6,0.18,2017-11-14,2018-02-11
/games/boxart/full_castlevania-lords-of-shadow_1AmericaFront.jpg,Castlevania: Lords of Shadow,PS3,Action,Konami,Mercury Steam,,8.1,,,1.11,0.5,0.1,0.37,0.15,2010-10-05,
/games/boxart/1609809ccc.gif,Tom Clancy's Splinter Cell: Chaos Theory,XB,Action,Ubisoft,Ubisoft Montreal,,9.4,,,1.11,0.68,,0.38,0.05,2005-03-28,
/games/boxart/full_68730AmericaFrontccc.jpg,One Piece: Pirate Warriors 3,PS4,Action,Tecmo Koei,Omega Force,,,,1.11,,,,,,2015-08-25,2018-01-12
/games/boxart/full_red-dead-redemption-undead-nightmare_699AmericaFront.jpg,Red Dead Redemption: Undead Nightmare,X360,Action,Rockstar Games,Rockstar San Diego,,10.0,,,1.11,0.61,0.02,0.38,0.1,2010-11-23,
/games/boxart/full_5194973AmericaFrontccc.jpg,Metal Gear Solid HD Collection,PS3,Action,Konami Digital Entertainment,Bluepoint Games,8.9,,,,1.11,0.52,,0.44,0.14,2011-11-08,2018-03-19
/games/boxart/full_lego-star-wars-iii-the-clone-wars_657AmericaFront.jpg,LEGO Star Wars III: The Clone Wars,DS,Action,LucasArts,Traveller's Tales,,6.3,,,1.1,0.62,,0.38,0.1,2011-03-22,
/games/boxart/full_4972966AmericaFrontccc.jpg,Ninja Gaiden Sigma,PS3,Action,Tecmo,Team Ninja,,8.8,,1.1,,,,,,2007-07-03,
/games/boxart/full_1519065AmericaFrontccc.jpg,The Texas Chain Saw Massacre,All,Action,Gun Interactive,Sumo Digital,,,,1.1,,,,,,2023-08-18,2024-02-28
/games/boxart/full_6971600AmericaFrontccc.jpg,TMNT,All,Action,Ubisoft,Ubisoft Montreal,,,,1.1,,,,,,2007-03-20,2020-11-29
/games/boxart/full_135821AmericaFrontccc.jpg,Toy Story 3: The Video Game,PS3,Action,Disney Interactive Studios,Avalanche Software,,7.5,,,1.09,0.51,,0.41,0.17,2010-06-15,
/games/boxart/1395823ccc.jpg,Bully: Scholarship Edition,X360,Action,Rockstar Games,Rockstar Vancouver/Mad Doc Software,,8.1,10.0,,1.09,0.53,0.03,0.42,0.11,2008-03-05,
/games/boxart/full_8476621AmericaFrontccc.jpg,Star Wars: The Force Unleashed,PSP,Action,LucasArts,Krome Studios,,7.1,,,1.09,0.43,,0.41,0.24,2008-09-16,
/games/boxart/full_7602742AmericaFrontccc.jpg,The Godfather,PS2,Action,Electronic Arts,Headgate,,,,,1.09,0.89,0.01,0.03,0.15,2006-03-21,
/games/boxart/full_dantes-inferno_129AmericaFront.jpg,Dante's Inferno,PS3,Action,Electronic Arts,Visceral Games,7.2,7.3,8.3,,1.08,0.64,0.04,0.28,0.12,2010-02-09,
/games/boxart/4632781ccc.jpg,Disney's Lilo & Stitch,GBA,Action,Disney Interactive Studios,Digital Eclipse,,8.0,,,1.08,0.77,,0.29,0.02,2002-06-07,
/games/boxart/full_9926100AmericaFrontccc.jpg,LEGO Star Wars II: The Original Trilogy,DS,Action,LucasArts,Amaze Entertainment,,4.9,,,1.07,0.96,,0.03,0.08,2006-09-12,
/games/boxart/full_8318030AmericaFrontccc.jpg,Bayonetta 3,NS,Action,Nintendo,PlatinumGames,7.5,,,1.07,,,,,,2022-10-28,2017-12-31
/games/boxart/5722852ccc.jpg,Hulk,PS2,Action,Universal Interactive,Radical Entertainment,,,,,1.06,0.52,,0.41,0.14,2003-05-27,
/games/boxart/full_6559707AmericaFrontccc.jpg,Darksiders,X360,Action,THQ,Vigil Games,8.2,7.8,,,1.06,0.67,0.01,0.28,0.1,2010-01-05,
/games/boxart/full_232092AmericaFrontccc.jpeg,Lego Marvel Super Heroes: Universe in Peril,3DS,Action,Warner Bros. Interactive Entertainment,TT Fusion,,,,,1.05,0.42,0.04,0.5,0.08,2013-10-22,2018-01-04
/games/boxart/full_510563AmericaFrontccc.jpg,Naruto to Boruto: Shinobi Striker,XOne,Action,Bandai Namco Games,Soleil Software Studio Inc.,,,,1.05,,,,,,2018-08-31,2018-09-12
/games/boxart/full_5238836AmericaFrontccc.jpg,The Evil Within 2,PS4,Action,Bethesda Softworks,Tango Gameworks,,,,,1.05,0.31,0.09,0.49,0.15,2017-10-13,2018-05-10
/games/boxart/full_disney-universe_91AmericaFront.jpg,Disney Universe,Wii,Action,Disney Interactive Studios,Disney Interactive Studios,,,,,1.05,0.66,,0.28,0.1,2011-10-25,
/games/boxart/full_4549936AmericaFrontccc.jpg,Super Hexagon,PC,Action,Unknown,Terry Cavanagh,,,,1.05,,,,,,,2019-02-05
/games/boxart/full_lego-pirates-of-the-caribbean-the-video-game_84AmericaFront.jpg,LEGO Pirates of the Caribbean: The Video Game,X360,Action,Disney Interactive Studios,Traveller's Tales,,7.2,,,1.04,0.54,,0.4,0.1,2011-05-10,
/games/boxart/full_5960719AmericaFrontccc.jpg,Resident Evil VII: Biohazard,XOne,Action,Capcom,Capcom,,7.9,,1.04,,,,,,2017-01-24,2018-01-15
/games/boxart/full_5866457AmericaFrontccc.jpg,Guinness World Records: The Videogame,Wii,Action,Warner Bros. Interactive,Traveller's Tales,,,,,1.03,0.46,,0.47,0.11,2008-11-11,
